model_id,dataset_name,patch_set,feature_set,feature_file_path,feature_file_exists,row_count_manifest,train_row_count_manifest,valid_row_count_manifest,test_row_count_manifest,metadata_column_count_manifest,feature_column_count_manifest,total_column_count_manifest,nan_count_manifest,inf_count_manifest,status_manifest,validation_errors
d1_linsvm_001,dataset1_varroa,centered80_balanced,hog8_hsv_lbp,data/features/dataset1_varroa/centered80_balanced__hog8_hsv_lbp.parquet,True,10246,6064,1288,2894,28,2958,2986,0,0,OK,
d1_linsvm_002,dataset1_varroa,centered80_balanced,hog8_hsv,data/features/dataset1_varroa/centered80_balanced__hog8_hsv.parquet,True,10246,6064,1288,2894,28,2948,2976,0,0,OK,
d1_linsvm_003,dataset1_varroa,centered80_balanced,hog8_only,data/features/dataset1_varroa/centered80_balanced__hog8_only.parquet,True,10246,6064,1288,2894,28,2916,2944,0,0,OK,
d1_linsvm_004,dataset1_varroa,centered80_balanced,hog16_hsv_lbp,data/features/dataset1_varroa/centered80_balanced__hog16_hsv_lbp.parquet,True,10246,6064,1288,2894,28,618,646,0,0,OK,
d1_linsvm_005,dataset1_varroa,centered80_balanced,hog16_hsv,data/features/dataset1_varroa/centered80_balanced__hog16_hsv.parquet,True,10246,6064,1288,2894,28,608,636,0,0,OK,
d1_linsvm_006,dataset1_varroa,centered80_balanced,hog16_only,data/features/dataset1_varroa/centered80_balanced__hog16_only.parquet,True,10246,6064,1288,2894,28,576,604,0,0,OK,
d1_linsvm_007,dataset1_varroa,centered80_balanced,hsv_lbp_only,data/features/dataset1_varroa/centered80_balanced__hsv_lbp_only.parquet,True,10246,6064,1288,2894,28,42,70,0,0,OK,
d1_linsvm_008,dataset1_varroa,centered80_balanced,hog8_pca_hsv_lbp,data/features/dataset1_varroa/centered80_balanced__hog8_pca_hsv_lbp.parquet,True,10246,6064,1288,2894,28,781,809,0,0,OK,
d1_linsvm_009,dataset1_varroa,centered80_balanced,hog8_pca_hsv,data/features/dataset1_varroa/centered80_balanced__hog8_pca_hsv.parquet,True,10246,6064,1288,2894,28,771,799,0,0,OK,
d1_linsvm_010,dataset1_varroa,centered80_balanced,hog8_pca_only,data/features/dataset1_varroa/centered80_balanced__hog8_pca_only.parquet,True,10246,6064,1288,2894,28,739,767,0,0,OK,
d1_linsvm_011,dataset1_varroa,centered80_balanced,hog16_pca_hsv_lbp,data/features/dataset1_varroa/centered80_balanced__hog16_pca_hsv_lbp.parquet,True,10246,6064,1288,2894,28,219,247,0,0,OK,
d1_linsvm_012,dataset1_varroa,centered80_balanced,hog16_pca_hsv,data/features/dataset1_varroa/centered80_balanced__hog16_pca_hsv.parquet,True,10246,6064,1288,2894,28,209,237,0,0,OK,
d1_linsvm_013,dataset1_varroa,centered80_balanced,hog16_pca_only,data/features/dataset1_varroa/centered80_balanced__hog16_pca_only.parquet,True,10246,6064,1288,2894,28,177,205,0,0,OK,
d1_linsvm_014,dataset1_varroa,centered80_neg4x,hog8_hsv_lbp,data/features/dataset1_varroa/centered80_neg4x__hog8_hsv_lbp.parquet,True,25615,15160,3220,7235,28,2958,2986,0,0,OK,
d1_linsvm_015,dataset1_varroa,centered80_neg4x,hog8_hsv,data/features/dataset1_varroa/centered80_neg4x__hog8_hsv.parquet,True,25615,15160,3220,7235,28,2948,2976,0,0,OK,
d1_linsvm_016,dataset1_varroa,centered80_neg4x,hog8_only,data/features/dataset1_varroa/centered80_neg4x__hog8_only.parquet,True,25615,15160,3220,7235,28,2916,2944,0,0,OK,
d1_linsvm_017,dataset1_varroa,centered80_neg4x,hog16_hsv_lbp,data/features/dataset1_varroa/centered80_neg4x__hog16_hsv_lbp.parquet,True,25615,15160,3220,7235,28,618,646,0,0,OK,
d1_linsvm_018,dataset1_varroa,centered80_neg4x,hog16_hsv,data/features/dataset1_varroa/centered80_neg4x__hog16_hsv.parquet,True,25615,15160,3220,7235,28,608,636,0,0,OK,
d1_linsvm_019,dataset1_varroa,centered80_neg4x,hog16_only,data/features/dataset1_varroa/centered80_neg4x__hog16_only.parquet,True,25615,15160,3220,7235,28,576,604,0,0,OK,
d1_linsvm_020,dataset1_varroa,centered80_neg4x,hsv_lbp_only,data/features/dataset1_varroa/centered80_neg4x__hsv_lbp_only.parquet,True,25615,15160,3220,7235,28,42,70,0,0,OK,
d1_linsvm_021,dataset1_varroa,centered80_neg4x,hog8_pca_hsv_lbp,data/features/dataset1_varroa/centered80_neg4x__hog8_pca_hsv_lbp.parquet,True,25615,15160,3220,7235,28,811,839,0,0,OK,
d1_linsvm_022,dataset1_varroa,centered80_neg4x,hog8_pca_hsv,data/features/dataset1_varroa/centered80_neg4x__hog8_pca_hsv.parquet,True,25615,15160,3220,7235,28,801,829,0,0,OK,
d1_linsvm_023,dataset1_varroa,centered80_neg4x,hog8_pca_only,data/features/dataset1_varroa/centered80_neg4x__hog8_pca_only.parquet,True,25615,15160,3220,7235,28,769,797,0,0,OK,
d1_linsvm_024,dataset1_varroa,centered80_neg4x,hog16_pca_hsv_lbp,data/features/dataset1_varroa/centered80_neg4x__hog16_pca_hsv_lbp.parquet,True,25615,15160,3220,7235,28,223,251,0,0,OK,
d1_linsvm_025,dataset1_varroa,centered80_neg4x,hog16_pca_hsv,data/features/dataset1_varroa/centered80_neg4x__hog16_pca_hsv.parquet,True,25615,15160,3220,7235,28,213,241,0,0,OK,
d1_linsvm_026,dataset1_varroa,centered80_neg4x,hog16_pca_only,data/features/dataset1_varroa/centered80_neg4x__hog16_pca_only.parquet,True,25615,15160,3220,7235,28,181,209,0,0,OK,
d1_linsvm_027,dataset1_varroa,centered96_balanced,hog8_hsv_lbp,data/features/dataset1_varroa/centered96_balanced__hog8_hsv_lbp.parquet,True,10246,6064,1288,2894,28,4398,4426,0,0,OK,
d1_linsvm_028,dataset1_varroa,centered96_balanced,hog8_hsv,data/features/dataset1_varroa/centered96_balanced__hog8_hsv.parquet,True,10246,6064,1288,2894,28,4388,4416,0,0,OK,
d1_linsvm_029,dataset1_varroa,centered96_balanced,hog8_only,data/features/dataset1_varroa/centered96_balanced__hog8_only.parquet,True,10246,6064,1288,2894,28,4356,4384,0,0,OK,
d1_linsvm_030,dataset1_varroa,centered96_balanced,hog16_hsv_lbp,data/features/dataset1_varroa/centered96_balanced__hog16_hsv_lbp.parquet,True,10246,6064,1288,2894,28,942,970,0,0,OK,
d1_linsvm_031,dataset1_varroa,centered96_balanced,hog16_hsv,data/features/dataset1_varroa/centered96_balanced__hog16_hsv.parquet,True,10246,6064,1288,2894,28,932,960,0,0,OK,
d1_linsvm_032,dataset1_varroa,centered96_balanced,hog16_only,data/features/dataset1_varroa/centered96_balanced__hog16_only.parquet,True,10246,6064,1288,2894,28,900,928,0,0,OK,
d1_linsvm_033,dataset1_varroa,centered96_balanced,hsv_lbp_only,data/features/dataset1_varroa/centered96_balanced__hsv_lbp_only.parquet,True,10246,6064,1288,2894,28,42,70,0,0,OK,
d1_linsvm_034,dataset1_varroa,centered96_balanced,hog8_pca_hsv_lbp,data/features/dataset1_varroa/centered96_balanced__hog8_pca_hsv_lbp.parquet,True,10246,6064,1288,2894,28,1084,1112,0,0,OK,
d1_linsvm_035,dataset1_varroa,centered96_balanced,hog8_pca_hsv,data/features/dataset1_varroa/centered96_balanced__hog8_pca_hsv.parquet,True,10246,6064,1288,2894,28,1074,1102,0,0,OK,
d1_linsvm_036,dataset1_varroa,centered96_balanced,hog8_pca_only,data/features/dataset1_varroa/centered96_balanced__hog8_pca_only.parquet,True,10246,6064,1288,2894,28,1042,1070,0,0,OK,
d1_linsvm_037,dataset1_varroa,centered96_balanced,hog16_pca_hsv_lbp,data/features/dataset1_varroa/centered96_balanced__hog16_pca_hsv_lbp.parquet,True,10246,6064,1288,2894,28,297,325,0,0,OK,
d1_linsvm_038,dataset1_varroa,centered96_balanced,hog16_pca_hsv,data/features/dataset1_varroa/centered96_balanced__hog16_pca_hsv.parquet,True,10246,6064,1288,2894,28,287,315,0,0,OK,
d1_linsvm_039,dataset1_varroa,centered96_balanced,hog16_pca_only,data/features/dataset1_varroa/centered96_balanced__hog16_pca_only.parquet,True,10246,6064,1288,2894,28,255,283,0,0,OK,
d1_linsvm_040,dataset1_varroa,centered96_neg4x,hog8_hsv_lbp,data/features/dataset1_varroa/centered96_neg4x__hog8_hsv_lbp.parquet,True,25615,15160,3220,7235,28,4398,4426,0,0,OK,
d1_linsvm_041,dataset1_varroa,centered96_neg4x,hog8_hsv,data/features/dataset1_varroa/centered96_neg4x__hog8_hsv.parquet,True,25615,15160,3220,7235,28,4388,4416,0,0,OK,
d1_linsvm_042,dataset1_varroa,centered96_neg4x,hog8_only,data/features/dataset1_varroa/centered96_neg4x__hog8_only.parquet,True,25615,15160,3220,7235,28,4356,4384,0,0,OK,
d1_linsvm_043,dataset1_varroa,centered96_neg4x,hog16_hsv_lbp,data/features/dataset1_varroa/centered96_neg4x__hog16_hsv_lbp.parquet,True,25615,15160,3220,7235,28,942,970,0,0,OK,
d1_linsvm_044,dataset1_varroa,centered96_neg4x,hog16_hsv,data/features/dataset1_varroa/centered96_neg4x__hog16_hsv.parquet,True,25615,15160,3220,7235,28,932,960,0,0,OK,
d1_linsvm_045,dataset1_varroa,centered96_neg4x,hog16_only,data/features/dataset1_varroa/centered96_neg4x__hog16_only.parquet,True,25615,15160,3220,7235,28,900,928,0,0,OK,
d1_linsvm_046,dataset1_varroa,centered96_neg4x,hsv_lbp_only,data/features/dataset1_varroa/centered96_neg4x__hsv_lbp_only.parquet,True,25615,15160,3220,7235,28,42,70,0,0,OK,
d1_linsvm_047,dataset1_varroa,centered96_neg4x,hog8_pca_hsv_lbp,data/features/dataset1_varroa/centered96_neg4x__hog8_pca_hsv_lbp.parquet,True,25615,15160,3220,7235,28,1147,1175,0,0,OK,
d1_linsvm_048,dataset1_varroa,centered96_neg4x,hog8_pca_hsv,data/features/dataset1_varroa/centered96_neg4x__hog8_pca_hsv.parquet,True,25615,15160,3220,7235,28,1137,1165,0,0,OK,
d1_linsvm_049,dataset1_varroa,centered96_neg4x,hog8_pca_only,data/features/dataset1_varroa/centered96_neg4x__hog8_pca_only.parquet,True,25615,15160,3220,7235,28,1105,1133,0,0,OK,
d1_linsvm_050,dataset1_varroa,centered96_neg4x,hog16_pca_hsv_lbp,data/features/dataset1_varroa/centered96_neg4x__hog16_pca_hsv_lbp.parquet,True,25615,15160,3220,7235,28,305,333,0,0,OK,
d1_linsvm_051,dataset1_varroa,centered96_neg4x,hog16_pca_hsv,data/features/dataset1_varroa/centered96_neg4x__hog16_pca_hsv.parquet,True,25615,15160,3220,7235,28,295,323,0,0,OK,
d1_linsvm_052,dataset1_varroa,centered96_neg4x,hog16_pca_only,data/features/dataset1_varroa/centered96_neg4x__hog16_pca_only.parquet,True,25615,15160,3220,7235,28,263,291,0,0,OK,
d1_linsvm_053,dataset1_varroa,centered112_balanced,hog8_hsv_lbp,data/features/dataset1_varroa/centered112_balanced__hog8_hsv_lbp.parquet,True,10246,6064,1288,2894,28,6126,6154,0,0,OK,
d1_linsvm_054,dataset1_varroa,centered112_balanced,hog8_hsv,data/features/dataset1_varroa/centered112_balanced__hog8_hsv.parquet,True,10246,6064,1288,2894,28,6116,6144,0,0,OK,
d1_linsvm_055,dataset1_varroa,centered112_balanced,hog8_only,data/features/dataset1_varroa/centered112_balanced__hog8_only.parquet,True,10246,6064,1288,2894,28,6084,6112,0,0,OK,
d1_linsvm_056,dataset1_varroa,centered112_balanced,hog16_hsv_lbp,data/features/dataset1_varroa/centered112_balanced__hog16_hsv_lbp.parquet,True,10246,6064,1288,2894,28,1338,1366,0,0,OK,
d1_linsvm_057,dataset1_varroa,centered112_balanced,hog16_hsv,data/features/dataset1_varroa/centered112_balanced__hog16_hsv.parquet,True,10246,6064,1288,2894,28,1328,1356,0,0,OK,
d1_linsvm_058,dataset1_varroa,centered112_balanced,hog16_only,data/features/dataset1_varroa/centered112_balanced__hog16_only.parquet,True,10246,6064,1288,2894,28,1296,1324,0,0,OK,
d1_linsvm_059,dataset1_varroa,centered112_balanced,hsv_lbp_only,data/features/dataset1_varroa/centered112_balanced__hsv_lbp_only.parquet,True,10246,6064,1288,2894,28,42,70,0,0,OK,
d1_linsvm_060,dataset1_varroa,centered112_balanced,hog8_pca_hsv_lbp,data/features/dataset1_varroa/centered112_balanced__hog8_pca_hsv_lbp.parquet,True,10246,6064,1288,2894,28,1417,1445,0,0,OK,
d1_linsvm_061,dataset1_varroa,centered112_balanced,hog8_pca_hsv,data/features/dataset1_varroa/centered112_balanced__hog8_pca_hsv.parquet,True,10246,6064,1288,2894,28,1407,1435,0,0,OK,
d1_linsvm_062,dataset1_varroa,centered112_balanced,hog8_pca_only,data/features/dataset1_varroa/centered112_balanced__hog8_pca_only.parquet,True,10246,6064,1288,2894,28,1375,1403,0,0,OK,
d1_linsvm_063,dataset1_varroa,centered112_balanced,hog16_pca_hsv_lbp,data/features/dataset1_varroa/centered112_balanced__hog16_pca_hsv_lbp.parquet,True,10246,6064,1288,2894,28,390,418,0,0,OK,
d1_linsvm_064,dataset1_varroa,centered112_balanced,hog16_pca_hsv,data/features/dataset1_varroa/centered112_balanced__hog16_pca_hsv.parquet,True,10246,6064,1288,2894,28,380,408,0,0,OK,
d1_linsvm_065,dataset1_varroa,centered112_balanced,hog16_pca_only,data/features/dataset1_varroa/centered112_balanced__hog16_pca_only.parquet,True,10246,6064,1288,2894,28,348,376,0,0,OK,
d1_linsvm_066,dataset1_varroa,centered112_neg4x,hog8_hsv_lbp,data/features/dataset1_varroa/centered112_neg4x__hog8_hsv_lbp.parquet,True,25615,15160,3220,7235,28,6126,6154,0,0,OK,
d1_linsvm_067,dataset1_varroa,centered112_neg4x,hog8_hsv,data/features/dataset1_varroa/centered112_neg4x__hog8_hsv.parquet,True,25615,15160,3220,7235,28,6116,6144,0,0,OK,
d1_linsvm_068,dataset1_varroa,centered112_neg4x,hog8_only,data/features/dataset1_varroa/centered112_neg4x__hog8_only.parquet,True,25615,15160,3220,7235,28,6084,6112,0,0,OK,
d1_linsvm_069,dataset1_varroa,centered112_neg4x,hog16_hsv_lbp,data/features/dataset1_varroa/centered112_neg4x__hog16_hsv_lbp.parquet,True,25615,15160,3220,7235,28,1338,1366,0,0,OK,
d1_linsvm_070,dataset1_varroa,centered112_neg4x,hog16_hsv,data/features/dataset1_varroa/centered112_neg4x__hog16_hsv.parquet,True,25615,15160,3220,7235,28,1328,1356,0,0,OK,
d1_linsvm_071,dataset1_varroa,centered112_neg4x,hog16_only,data/features/dataset1_varroa/centered112_neg4x__hog16_only.parquet,True,25615,15160,3220,7235,28,1296,1324,0,0,OK,
d1_linsvm_072,dataset1_varroa,centered112_neg4x,hsv_lbp_only,data/features/dataset1_varroa/centered112_neg4x__hsv_lbp_only.parquet,True,25615,15160,3220,7235,28,42,70,0,0,OK,
d1_linsvm_073,dataset1_varroa,centered112_neg4x,hog8_pca_hsv_lbp,data/features/dataset1_varroa/centered112_neg4x__hog8_pca_hsv_lbp.parquet,True,25615,15160,3220,7235,28,1536,1564,0,0,OK,
d1_linsvm_074,dataset1_varroa,centered112_neg4x,hog8_pca_hsv,data/features/dataset1_varroa/centered112_neg4x__hog8_pca_hsv.parquet,True,25615,15160,3220,7235,28,1526,1554,0,0,OK,
d1_linsvm_075,dataset1_varroa,centered112_neg4x,hog8_pca_only,data/features/dataset1_varroa/centered112_neg4x__hog8_pca_only.parquet,True,25615,15160,3220,7235,28,1494,1522,0,0,OK,
d1_linsvm_076,dataset1_varroa,centered112_neg4x,hog16_pca_hsv_lbp,data/features/dataset1_varroa/centered112_neg4x__hog16_pca_hsv_lbp.parquet,True,25615,15160,3220,7235,28,401,429,0,0,OK,
d1_linsvm_077,dataset1_varroa,centered112_neg4x,hog16_pca_hsv,data/features/dataset1_varroa/centered112_neg4x__hog16_pca_hsv.parquet,True,25615,15160,3220,7235,28,391,419,0,0,OK,
d1_linsvm_078,dataset1_varroa,centered112_neg4x,hog16_pca_only,data/features/dataset1_varroa/centered112_neg4x__hog16_pca_only.parquet,True,25615,15160,3220,7235,28,359,387,0,0,OK,
