param_combo_index,algorithm_name,threshold_column,threshold_value,score_threshold,decision_function_score_threshold,predict_proba_score_threshold,stride_divisor,cluster_iou_threshold,weighted_box_size_factor
1,linear_svm,score_threshold,1.0,1.0,,,4,0.2,1.0
2,linear_svm,score_threshold,1.0,1.0,,,4,0.2,1.25
3,linear_svm,score_threshold,1.0,1.0,,,4,0.3,1.0
4,linear_svm,score_threshold,1.0,1.0,,,4,0.3,1.25
5,linear_svm,score_threshold,1.0,1.0,,,6,0.2,1.0
6,linear_svm,score_threshold,1.0,1.0,,,6,0.2,1.25
7,linear_svm,score_threshold,1.0,1.0,,,6,0.3,1.0
8,linear_svm,score_threshold,1.0,1.0,,,6,0.3,1.25
9,linear_svm,score_threshold,1.5,1.5,,,4,0.2,1.0
10,linear_svm,score_threshold,1.5,1.5,,,4,0.2,1.25
11,linear_svm,score_threshold,1.5,1.5,,,4,0.3,1.0
12,linear_svm,score_threshold,1.5,1.5,,,4,0.3,1.25
13,linear_svm,score_threshold,1.5,1.5,,,6,0.2,1.0
14,linear_svm,score_threshold,1.5,1.5,,,6,0.2,1.25
15,linear_svm,score_threshold,1.5,1.5,,,6,0.3,1.0
16,linear_svm,score_threshold,1.5,1.5,,,6,0.3,1.25
17,linear_svm,score_threshold,2.0,2.0,,,4,0.2,1.0
18,linear_svm,score_threshold,2.0,2.0,,,4,0.2,1.25
19,linear_svm,score_threshold,2.0,2.0,,,4,0.3,1.0
20,linear_svm,score_threshold,2.0,2.0,,,4,0.3,1.25
21,linear_svm,score_threshold,2.0,2.0,,,6,0.2,1.0
22,linear_svm,score_threshold,2.0,2.0,,,6,0.2,1.25
23,linear_svm,score_threshold,2.0,2.0,,,6,0.3,1.0
24,linear_svm,score_threshold,2.0,2.0,,,6,0.3,1.25
25,rbf_svm,decision_function_score_threshold,0.0,,0.0,,4,0.2,1.0
26,rbf_svm,decision_function_score_threshold,0.0,,0.0,,4,0.2,1.25
27,rbf_svm,decision_function_score_threshold,0.0,,0.0,,4,0.3,1.0
28,rbf_svm,decision_function_score_threshold,0.0,,0.0,,4,0.3,1.25
29,rbf_svm,decision_function_score_threshold,0.0,,0.0,,6,0.2,1.0
30,rbf_svm,decision_function_score_threshold,0.0,,0.0,,6,0.2,1.25
31,rbf_svm,decision_function_score_threshold,0.0,,0.0,,6,0.3,1.0
32,rbf_svm,decision_function_score_threshold,0.0,,0.0,,6,0.3,1.25
33,rbf_svm,decision_function_score_threshold,0.25,,0.25,,4,0.2,1.0
34,rbf_svm,decision_function_score_threshold,0.25,,0.25,,4,0.2,1.25
35,rbf_svm,decision_function_score_threshold,0.25,,0.25,,4,0.3,1.0
36,rbf_svm,decision_function_score_threshold,0.25,,0.25,,4,0.3,1.25
37,rbf_svm,decision_function_score_threshold,0.25,,0.25,,6,0.2,1.0
38,rbf_svm,decision_function_score_threshold,0.25,,0.25,,6,0.2,1.25
39,rbf_svm,decision_function_score_threshold,0.25,,0.25,,6,0.3,1.0
40,rbf_svm,decision_function_score_threshold,0.25,,0.25,,6,0.3,1.25
41,rbf_svm,decision_function_score_threshold,0.5,,0.5,,4,0.2,1.0
42,rbf_svm,decision_function_score_threshold,0.5,,0.5,,4,0.2,1.25
43,rbf_svm,decision_function_score_threshold,0.5,,0.5,,4,0.3,1.0
44,rbf_svm,decision_function_score_threshold,0.5,,0.5,,4,0.3,1.25
45,rbf_svm,decision_function_score_threshold,0.5,,0.5,,6,0.2,1.0
46,rbf_svm,decision_function_score_threshold,0.5,,0.5,,6,0.2,1.25
47,rbf_svm,decision_function_score_threshold,0.5,,0.5,,6,0.3,1.0
48,rbf_svm,decision_function_score_threshold,0.5,,0.5,,6,0.3,1.25
49,rbf_svm,decision_function_score_threshold,0.75,,0.75,,4,0.2,1.0
50,rbf_svm,decision_function_score_threshold,0.75,,0.75,,4,0.2,1.25
51,rbf_svm,decision_function_score_threshold,0.75,,0.75,,4,0.3,1.0
52,rbf_svm,decision_function_score_threshold,0.75,,0.75,,4,0.3,1.25
53,rbf_svm,decision_function_score_threshold,0.75,,0.75,,6,0.2,1.0
54,rbf_svm,decision_function_score_threshold,0.75,,0.75,,6,0.2,1.25
55,rbf_svm,decision_function_score_threshold,0.75,,0.75,,6,0.3,1.0
56,rbf_svm,decision_function_score_threshold,0.75,,0.75,,6,0.3,1.25
57,random_forest,predict_proba_score_threshold,0.3,,,0.3,4,0.2,1.0
58,random_forest,predict_proba_score_threshold,0.3,,,0.3,4,0.2,1.25
59,random_forest,predict_proba_score_threshold,0.3,,,0.3,4,0.3,1.0
60,random_forest,predict_proba_score_threshold,0.3,,,0.3,4,0.3,1.25
61,random_forest,predict_proba_score_threshold,0.3,,,0.3,6,0.2,1.0
62,random_forest,predict_proba_score_threshold,0.3,,,0.3,6,0.2,1.25
63,random_forest,predict_proba_score_threshold,0.3,,,0.3,6,0.3,1.0
64,random_forest,predict_proba_score_threshold,0.3,,,0.3,6,0.3,1.25
65,random_forest,predict_proba_score_threshold,0.4,,,0.4,4,0.2,1.0
66,random_forest,predict_proba_score_threshold,0.4,,,0.4,4,0.2,1.25
67,random_forest,predict_proba_score_threshold,0.4,,,0.4,4,0.3,1.0
68,random_forest,predict_proba_score_threshold,0.4,,,0.4,4,0.3,1.25
69,random_forest,predict_proba_score_threshold,0.4,,,0.4,6,0.2,1.0
70,random_forest,predict_proba_score_threshold,0.4,,,0.4,6,0.2,1.25
71,random_forest,predict_proba_score_threshold,0.4,,,0.4,6,0.3,1.0
72,random_forest,predict_proba_score_threshold,0.4,,,0.4,6,0.3,1.25
73,random_forest,predict_proba_score_threshold,0.5,,,0.5,4,0.2,1.0
74,random_forest,predict_proba_score_threshold,0.5,,,0.5,4,0.2,1.25
75,random_forest,predict_proba_score_threshold,0.5,,,0.5,4,0.3,1.0
76,random_forest,predict_proba_score_threshold,0.5,,,0.5,4,0.3,1.25
77,random_forest,predict_proba_score_threshold,0.5,,,0.5,6,0.2,1.0
78,random_forest,predict_proba_score_threshold,0.5,,,0.5,6,0.2,1.25
79,random_forest,predict_proba_score_threshold,0.5,,,0.5,6,0.3,1.0
80,random_forest,predict_proba_score_threshold,0.5,,,0.5,6,0.3,1.25
81,random_forest,predict_proba_score_threshold,0.6,,,0.6,4,0.2,1.0
82,random_forest,predict_proba_score_threshold,0.6,,,0.6,4,0.2,1.25
83,random_forest,predict_proba_score_threshold,0.6,,,0.6,4,0.3,1.0
84,random_forest,predict_proba_score_threshold,0.6,,,0.6,4,0.3,1.25
85,random_forest,predict_proba_score_threshold,0.6,,,0.6,6,0.2,1.0
86,random_forest,predict_proba_score_threshold,0.6,,,0.6,6,0.2,1.25
87,random_forest,predict_proba_score_threshold,0.6,,,0.6,6,0.3,1.0
88,random_forest,predict_proba_score_threshold,0.6,,,0.6,6,0.3,1.25
